"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
1564,1,1999,2001,5,1,0,69485.64782,0,297,634,1862,10.7205479452055,6.21917808219178,9.26301369863014,0,1,0
1566,1,1999,2008,2,0,0,48619.49643,0,1160,1179,1047,3.23561643835616,2.43013698630137,3.18904109589041,4,1,6
1570,1,1999,2004,3,0,1,25579.08629,0,627,467,509,5.47671232876712,7.15890410958904,6.25205479452055,0,1,0
1572,1,2000,2004,2,0,0,76683.32275,0,1369,1032,1032,2.85479452054795,3.93972602739726,3.93972602739726,1,1,3
1575,0,2000,2001,2,0,0,26349.357485,0,1186,1188,1184,3.71780821917808,3.37534246575342,3.7041095890411,0,1,0
1576,0,2000,2010,2,0,0,43461.074605,0,859,929,929,5.75890410958904,5.82191780821918,5.82191780821918,1,1,1
1577,1,2000,2013,4,0,0,52568.51958,0,308,1274,216,9.65753424657534,3.21643835616438,11.6958904109589,5,1,12
1578,1,2000,2002,2,0,0,82708.122135,0,862,917,632,5.92328767123288,6.02739726027397,6.89041095890411,0,1,0
1579,1,2000,2008,2,0,0,81896.701165,0,1170,1063,917,3.0958904109589,3.87397260273973,6.02739726027397,7,1,7
1580,0,2000,2015,3,0,0,91475.20536,0,1403,525,849,2.72328767123288,6.89315068493151,5.96438356164384,9,1,12
1581,1,2000,2009,2,0,1,66188.75029,0,1161,525,525,3.41369863013699,6.72876712328767,6.72876712328767,7,1,8
1583,1,2000,2002,3,0,0,24843.6270385,0,951,1196,1196,4.77260273972603,3.70684931506849,3.70684931506849,0,1,0
1584,0,1999,2000,4,1,0,30718.60887,0,848,1370,1215,5.13424657534247,2.38082191780822,2.37808219178082,0,1,0
1585,1,2000,2002,2,0,0,70946.760025,0,595,495,495,6.91780821917808,6.91780821917808,6.91780821917808,0,1,0
1586,0,2000,2001,2,0,0,27135.360705,0,503,1214,1214,6.75342465753425,3.00821917808219,3.00821917808219,0,1,0
1588,0,2000,2004,2,0,1,84618.19458,0,1382,847,847,2.67397260273973,5.81095890410959,5.81095890410959,3,1,3
1589,0,2000,2008,2,0,1,84618.19458,0,1382,847,847,2.67397260273973,5.81095890410959,5.81095890410959,3,1,6
1590,1,2000,2005,2,0,0,21124.1399325,0,826,1274,1213,6.04931506849315,3.4027397260274,2.87671232876712,3,1,4
1591,1,2000,2005,3,0,0,33489.3131395,0,1059,1020,1167,3.90958904109589,4.61095890410959,3.93424657534247,0,1,0
1592,0,2000,2001,2,0,0,14422.8457645,0,853,629,865,5.95890410958904,6.91232876712329,5.93150684931507,0,1,0
1593,1,2000,2008,3,0,0,59151.931055,0,1017,1018,1018,7.84383561643836,4.61095890410959,4.61095890410959,2,1,6
1594,1,2000,2001,3,0,0,43793.520631,0,1415,1165,1165,1.81095890410959,3.93424657534247,3.93424657534247,0,1,0
