"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
5608,0,2013,2010,2014,0,2,0,0,19768.05098,4958,4888,4888,3.96986301369863,4.22191780821918,4.22191780821918
5608,0,2012,2010,2014,0,2,0,0,19768.05098,4958,4888,4888,3.96986301369863,4.22191780821918,4.22191780821918
5613,0,2012,2010,2016,0,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2013,2010,2016,0,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2014,2010,2016,1,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2015,2010,2016,1,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2011,2010,2016,0,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2010,2010,2016,0,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5613,0,2016,2010,2016,0,2,0,0,17869.59165,3518,3486,3454,4.90958904109589,5.05753424657534,5.70958904109589
5614,1,2010,2010,2013,0,3,0,0,29769.57144,3094,5170,5170,6.16986301369863,3.02739726027397,3.02739726027397
5614,1,2011,2010,2013,1,3,0,0,29769.57144,3094,5170,5170,6.16986301369863,3.02739726027397,3.02739726027397
5614,1,2012,2010,2013,0,3,0,0,29769.57144,3094,5170,5170,6.16986301369863,3.02739726027397,3.02739726027397
5614,1,2013,2010,2013,0,3,0,0,29769.57144,3094,5170,5170,6.16986301369863,3.02739726027397,3.02739726027397
5615,0,2012,2011,2012,0,2,0,0,56049.43669,3490,3087,3087,5.96986301369863,6.51506849315069,6.51506849315069
5615,0,2011,2011,2012,0,2,0,0,56049.43669,3490,3087,3087,5.96986301369863,6.51506849315069,6.51506849315069
5616,0,2012,2010,2013,0,3,0,1,13305.06962,3596,1877,1877,5.1972602739726,7.11506849315068,7.11506849315068
5616,0,2011,2010,2013,0,3,0,1,13305.06962,3596,1877,1877,5.1972602739726,7.11506849315068,7.11506849315068
5616,0,2010,2010,2013,0,3,0,1,13305.06962,3596,1877,1877,5.1972602739726,7.11506849315068,7.11506849315068
5616,0,2013,2010,2013,0,3,0,1,13305.06962,3596,1877,1877,5.1972602739726,7.11506849315068,7.11506849315068
5618,0,2011,2011,2013,0,2,0,0,35216.96482,1438,1708,1708,11.772602739726,9.3013698630137,9.3013698630137
5618,0,2012,2011,2013,0,2,0,0,35216.96482,1438,1708,1708,11.772602739726,9.3013698630137,9.3013698630137
5618,0,2013,2011,2013,0,2,0,0,35216.96482,1438,1708,1708,11.772602739726,9.3013698630137,9.3013698630137
5625,0,2011,2010,2015,0,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5625,0,2012,2010,2015,0,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5625,0,2010,2010,2015,0,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5625,0,2013,2010,2015,1,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5625,0,2014,2010,2015,2,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5625,0,2015,2010,2015,0,2,0,0,57045.65907,5531,4957,4957,1.29041095890411,4.07671232876712,4.07671232876712
5631,1,2013,2010,2013,0,2,0,0,14677.37892,5163,5072,5072,3.53150684931507,3.61643835616438,3.61643835616438
5631,1,2011,2010,2013,0,2,0,0,14677.37892,5163,5072,5072,3.53150684931507,3.61643835616438,3.61643835616438
5631,1,2012,2010,2013,0,2,0,0,14677.37892,5163,5072,5072,3.53150684931507,3.61643835616438,3.61643835616438
5631,1,2010,2010,2013,0,2,0,0,14677.37892,5163,5072,5072,3.53150684931507,3.61643835616438,3.61643835616438
5634,0,2010,2010,2017,0,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2011,2010,2017,0,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2014,2010,2017,2,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2015,2010,2017,0,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2013,2010,2017,0,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
